region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,population_total,2047,5753464.669423905,5561823.39904437,5951631.965621818,389808.5665774476,0.033875985078090275
E12000004,population_total,2048,5782354.983921058,5585680.957204311,5985876.263948505,400195.30674419366,0.03460487187806812
E12000004,population_total,2049,5811118.154064775,5609462.369607105,6019945.147270119,410482.7776630139,0.03531874303535615
E12000004,population_total,2050,5839760.6803247575,5633170.251385068,6053848.990747443,420678.7393623758,0.03601849137240511
E12000004,unemployment_rate_pct,2026,3.660052896967236,2.038497262314524,5.281608531619948,3.2431112693054245,0.4430415844526053
E12000004,unemployment_rate_pct,2027,3.1309965846275936,0.8377706139592167,5.42422255529597,4.586451941336754,0.7324268515422662
E12000004,unemployment_rate_pct,2028,2.4409970219296198,-0.36761972458847314,5.249613768447713,5.617233493036186,1.1506022831186693
E12000004,unemployment_rate_pct,2029,1.750997459231645,-1.492113810073779,4.9941087285370696,6.486222538610848,1.852150756819792
E12000004,unemployment_rate_pct,2030,1.0609978965336695,-2.5649107318476085,4.6869065249149475,7.251817256762556,3.4174512882893486
E12000004,unemployment_rate_pct,2031,0.37099833383569747,-3.600985560598387,4.342982228269782,7.943967788868169,10.706204131345617
E12000004,unemployment_rate_pct,2032,-0.31900122886227655,-4.609234175208864,3.9712317174843106,8.580465892693175,-13.448954292896545
E12000004,unemployment_rate_pct,2033,-1.0090007915602521,-5.595452732897006,3.5774511497765014,9.172903882673507,-4.545538496797973
E12000004,unemployment_rate_pct,2034,-1.699000354258228,-6.563667258216364,3.1656665496999086,9.729333807916273,-2.8632524365081826
E12000004,unemployment_rate_pct,2035,-2.3889999169562017,-7.516809075138632,2.738809241226228,10.25561831636486,-2.146425004784309
E12000004,unemployment_rate_pct,2036,-3.078999479654174,-8.457091096483843,2.2990921371754944,10.756183233659337,-1.7467010476512723
E12000004,unemployment_rate_pct,2037,-3.7689990423521498,-9.386232535388336,1.848234450684036,11.234466986072372,-1.4903780632246044
E12000004,unemployment_rate_pct,2038,-4.458998605050123,-10.305600591808027,1.3876033817077813,11.693203973515807,-1.3111917057198053
E12000004,unemployment_rate_pct,2039,-5.148998167748099,-11.216303786211325,0.9183074507151279,12.134611236926453,-1.1783468202546958
E12000004,unemployment_rate_pct,2040,-5.838997730446071,-12.119255698404823,0.4412602375126813,12.560515935917504,-1.0755712294957462
E12000004,unemployment_rate_pct,2041,-6.5289972931440445,-13.015219831754893,-0.04277475453319646,12.972445077221696,-0.9934484955939386
E12000004,unemployment_rate_pct,2042,-7.218996855842021,-13.904842015330633,-0.533151696353408,13.371690318977226,-0.9261460134974361
