region_code,region_name,region_level,metric_id,period,value,unit,freq,source,vintage,geo_hierarchy,metric,year,region,data_type,ci_lower,ci_upper,method,quality_metrics,itl1_code
TLD1,Cumbria,ITL2,population_total,2021.0,500729.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2021,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2022.0,503177.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2022,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2023.0,506716.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2023,Cumbria,historical,,,,,E12000002
TLD1,Cumbria,ITL2,population_total,2024.0,510680.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,2024,Cumbria,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1991.0,2553564.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1991,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1992.0,2551179.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1992,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1993.0,2551015.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1993,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1994.0,2545656.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1994,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1995.0,2540184.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1995,Greater Manchester,historical,,,,,E12000002
TLD3,Greater Manchester,ITL2,population_total,1996.0,2531355.0,persons,A,NOMIS_LAD_aggregated,2025-11-19T14:56:58Z,ITL2>ITL1,population_total,1996,Greater Manchester,historical,,,,,E12000002
