metric,year,value,ci_lower,ci_upper,ci_width
uk_population_total,2036,74022121.3252785,71840881.9589654,76269587.67883644,4428705.719871029
uk_population_total,2037,74422947.64804667,72014625.98960944,76911808.68485066,4897182.695241228
uk_population_total,2038,74822030.98176669,72180474.04596224,77560259.81031395,5379785.764351711
uk_population_total,2039,75219416.85887384,72338883.61174141,78214652.89617305,5875769.284431636
uk_population_total,2040,75615150.46470103,72490276.08995384,78874730.35285851,6384454.262904674
uk_population_total,2041,76009276.62256488,72635041.55401656,79540260.58330394,6905219.029287383
uk_population_total,2042,76401839.78001636,72773542.59101167,80211034.3119706,7437491.720958933
uk_population_total,2043,76792883.99621004,72906117.45371968,80886861.60251012,7980744.148790449
uk_population_total,2044,77182452.93033357,73033082.67795359,81567569.40702778,8534486.729074195
uk_population_total,2045,77570589.83105615,73154735.28035855,82252999.53144033,9098264.25108178
uk_population_total,2046,77957337.52694383,73271354.62276801,82943006.93058868,9671652.307820663
uk_population_total,2047,78342738.41779804,73383204.00842291,83637458.26763077,10254254.25920786
uk_population_total,2048,78726834.46687287,73490532.06026356,84336230.68740338,10845698.627139822
uk_population_total,2049,79109667.19392918,73593573.92034496,85039210.76462483,11445636.84427987
uk_population_total,2050,79491277.66908441,73692552.30110364,85746293.59619592,12053741.295092285
uk_unemployment_rate_pct,2026,3.8476444336544793,-0.3787730276828405,2.1199849567739464,2.4987579844567867
uk_unemployment_rate_pct,2027,3.87295739868018,-0.18805048334754393,3.4692213525893925,3.6572718359369363
uk_unemployment_rate_pct,2028,3.9709607321106764,-0.07429601984716128,4.6502824758053904,4.724578495652552
uk_unemployment_rate_pct,2029,4.088469517494558,-0.07468670057378601,5.70425716426935,5.778943864843137
uk_unemployment_rate_pct,2030,4.200122762430884,-0.17828310947619663,6.645191165213014,6.82347427468921
uk_unemployment_rate_pct,2031,4.295239255730475,-0.36380935477626636,7.483842389494612,7.847651744270878
uk_unemployment_rate_pct,2032,4.370645455202864,-0.5681937529784071,8.231157456822896,8.799351209801303
uk_unemployment_rate_pct,2033,4.426799712388953,-0.4730628104219836,8.898234145744166,9.37129695616615
uk_unemployment_rate_pct,2034,4.46573295799286,-0.390770210031479,9.495770965181313,9.886541175212791
uk_unemployment_rate_pct,2035,4.489985682424036,-0.32079424840605625,10.033634891330975,10.35442913973703
uk_unemployment_rate_pct,2036,4.502086424891002,-0.26202896126330033,10.52063130541385,10.782660266677151
uk_unemployment_rate_pct,2037,4.504319974077443,-0.21314245081013503,10.96443426233265,11.177576713142786
uk_unemployment_rate_pct,2038,4.498646480580244,-0.17277360211407744,11.37161960793257,11.544393210046648
uk_unemployment_rate_pct,2039,4.486695616599269,-0.1396355850714395,11.747754830508779,11.887390415580219
uk_unemployment_rate_pct,2040,4.469794921584208,-0.11256518780405037,12.097514242378116,12.210079430182166
uk_unemployment_rate_pct,2041,4.448944564791588,-0.040024257478852354,12.47531670224926,12.515340959728114
uk_unemployment_rate_pct,2042,4.425057017308095,-0.033958498525671565,12.771583279512543,12.805541778038215
uk_unemployment_rate_pct,2043,4.398814966155712,-0.028568851065789897,13.054062290545527,13.082631141611317
uk_unemployment_rate_pct,2044,4.37074967192664,-0.023866980642940475,13.324352885203254,13.348219865846195
uk_unemployment_rate_pct,2045,4.341273569704779,-0.019822204333090763,13.583822493963844,13.603644698296934
uk_unemployment_rate_pct,2046,4.310706306833534,-0.016380900410542593,13.833639526169316,13.850020426579858
uk_unemployment_rate_pct,2047,4.279295328737868,-0.01347901153955367,14.074802874943808,14.088281886483362
uk_unemployment_rate_pct,2048,4.247232038002332,-0.011049875373734475,14.308167861189302,14.319217736563036
uk_unemployment_rate_pct,2049,4.214664413849872,-0.00902892236926309,14.534468649163898,14.54349757153316
uk_unemployment_rate_pct,2050,4.18170683129975,-0.007356299895299213,14.754337376949104,14.761693676844404
