region_code,region_name,metric_id,period,value,data_type,ci_lower,ci_upper,unit
TLC3,Tees Valley,population_total,2026,697411.7567580526,forecast,692355.8444850136,702467.6690310913,
TLC3,Tees Valley,population_total,2027,698498.040780824,forecast,692376.5482371993,704619.5333244486,
TLC3,Tees Valley,population_total,2028,698464.090652291,forecast,691483.8725118642,705444.3087927174,
TLC3,Tees Valley,population_total,2029,701372.5922054996,forecast,693629.6231698417,709115.5612411574,
TLC3,Tees Valley,population_total,2030,703913.8190984655,forecast,695498.8581876202,712328.7800093107,
TLC3,Tees Valley,population_total,2031,705988.689720894,forecast,696973.3679398262,715004.0115019615,
TLC3,Tees Valley,population_total,2032,708018.3641227114,forecast,698455.5403897043,717581.1878557183,
TLC3,Tees Valley,population_total,2033,709995.7776202656,forecast,699928.5107522899,720063.0444882411,
TLC3,Tees Valley,population_total,2034,711913.066812359,forecast,701377.2829378322,722448.8506868855,
TLC3,Tees Valley,population_total,2035,713761.1067090497,forecast,702787.3834152382,724734.8300028609,
TLC3,Tees Valley,population_total,2036,715528.8624685917,forecast,704143.6886475228,726914.0362896601,
TLC3,Tees Valley,population_total,2037,717202.456018089,forecast,705429.1692067018,728975.7428294758,
TLC3,Tees Valley,population_total,2038,718763.7882767027,forecast,706623.3137332201,730904.2628201852,
TLC3,Tees Valley,population_total,2039,720188.4570549241,forecast,707699.9343816172,732676.9797282309,
TLC3,Tees Valley,population_total,2040,721572.6097661756,forecast,708751.6658355616,734393.5536967895,
TLC3,Tees Valley,population_total,2041,722841.6630637054,forecast,709703.6496843505,735979.6764430602,
TLC3,Tees Valley,population_total,2042,724059.4081485157,forecast,710617.1927360587,737501.6235609726,
TLC3,Tees Valley,population_total,2043,725268.4870517642,forecast,711532.9482594954,739004.0258440326,
TLC3,Tees Valley,population_total,2044,726496.8652296069,forecast,712477.2767472719,740516.4537119417,
TLC3,Tees Valley,population_total,2045,727762.3741593123,forecast,713466.7027067082,742058.0456119162,
TLC3,Tees Valley,population_total,2046,729075.8845661235,forecast,714511.0224000893,743640.7467321574,
TLC3,Tees Valley,population_total,2047,730443.5154110538,forecast,715615.4629413319,745271.5678807755,
TLC3,Tees Valley,population_total,2048,731868.167355751,forecast,716782.1777162713,746954.1569952305,
TLC3,Tees Valley,population_total,2049,733350.5846022689,forecast,718011.2791233298,748689.8900812079,
TLC3,Tees Valley,population_total,2050,734890.0882505344,forecast,719301.5495680771,750478.6269329916,
TLC3,Tees Valley,productivity_gbp_per_job,2025,65835.04743873127,forecast,59251.542694858144,72418.5521826044,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2026,67728.55058443073,forecast,60955.69552598766,74501.40564287381,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2027,69681.28235464913,forecast,62713.15411918422,76649.41059011404,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2028,71694.8445402756,forecast,64525.360086248045,78864.32899430317,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2029,73781.29748917132,forecast,66403.1677402542,81159.42723808846,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2030,75922.01343483634,forecast,68329.81209135271,83514.21477831998,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2031,78128.36215981738,forecast,70315.52594383564,85941.19837579913,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2032,80402.1537215069,forecast,72361.9383493562,88442.36909365759,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2033,82745.25520595626,forecast,74470.72968536064,91019.7807265519,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2034,83496.50904704616,forecast,75146.85814234155,91846.15995175079,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2035,85863.12718332968,forecast,77276.81446499671,94449.43990166266,GBP
TLC3,Tees Valley,productivity_gbp_per_job,2036,88316.98905192438,forecast,79485.29014673195,97148.68795711682,GBP
